time index	time	ROI Number	ROI Area	ROI Perimeter	ROI Major Axis	ROI Minor Axis	ROI Center row	ROI Center col	ROI Eccentricity	ROI Solidity	ROI Convex Area	ROI Compactness	ROI MeanI_ch1	ROI MeanI_ch2	ROI MeanI_ch3	ROI MeanI_ch4	ROI MeanI_I ch5	ROI Corr ch1 vs 2	ROI Corr ch1 vs 3	ROI Corr ch1 vs 4	ROI Corr ch1 vs 5	ROI Corr ch2 vs 3	ROI Corr ch2 vs 4	ROI Corr ch2 vs 5	ROI Corr ch3 vs 4	ROI Corr ch3 vs 5	ROI Corr ch4 vs 5	NumPatches	PatchPop Perc. Area 	PatchPop Av. Area	PatchPop Av. Length	PatchPop Av. Min. Axis	PatchPop Av. Eccentricity	PatchPop Av. Angle	PatchPop Stdev Angle	PatchPop Av. Perimeter	PatchPop Av. Convex Area	PatchPop Av. Solidity	PatchPop Av. Compactness	PatchPop Av. Dist. Border	PatchPopMean Av. Dist. Center	PatchPop Av. MeanI_ch1	PatchPop Stdev MeanI_ch1	PatchPop Av. MaxI_ch1	PatchPop Av. MeanI_ch2	PatchPop Stdev MeanI_ch2	PatchPop Av. MaxI_ch2	PatchPop Av. MeanI_ch3	PatchPop Stdev MeanI_ch3	PatchPop Av. MaxI_ch3	PatchPop Av. MeanI_ch4	PatchPop Stdev MeanI_ch4	PatchPop Av. MaxI_ch4	PatchPop Av. MeanI_ch5	PatchPop Stdev MeanI_ch5	PatchPop Av. MaxI_ch5	PatchPop MeanI_ch1	PatchPop MeanI_ch2	PatchPop MeanI_ch3	PatchPop MeanI_ch4	PatchPop MeanI_ch5	PatchPop Corr ch1 vs 2	PatchPop Corr ch1 vs 3	PatchPop Corr ch1 vs 4	PatchPop Corr ch1 vs 5	PatchPop Corr ch2 vs 3	PatchPop Corr ch2 vs 4	PatchPop Corr ch2 vs 5	PatchPop Corr ch3 vs 4	PatchPop Corr ch3 vs 5	PatchPop Corr ch4 vs 5	PatchPop MeanICorr ch1 vs 2	PatchPop MeanICorr ch1 vs 3	PatchPop MeanICorr ch1 vs 4	PatchPop MeanICorr ch1 vs 5	PatchPop MeanICorr ch2 vs 3	PatchPop MeanICorr ch2 vs 4	PatchPop MeanICorr ch2 vs 5	PatchPop MeanICorr ch3 vs 4	PatchPop MeanICorr ch3 vs 5	PatchPop MeanICorr ch4 vs 5	ROI Velocity	ROI trace ID	Averaged Roi Size	Average Roi Velocity	Roi Path Length	Roi Displacement	Directional Persistence
0	4390.710400	1	2278.951904	213.673630	31.893396	23.345787	329	513	0.268006	1.101952	2511.294678	1.262637	15.846475	4.357392				0.208089										65	1.957295	0.686243	0.576907	0.311406	0.451963	9.984615	62.908289	2.600613	0.471792	0.493586	0.874614	2.415064	26.160501	154.952378	28.055481	329.307692	17.472544	9.313914	54.507692										153.423297	18.891098				0.138552										0.260265										0.001370	1	2798.637853	0.001183	25.546492	10.406934	0.407372
1	306068.410000	1	2322.839600	215.276718	32.381458	23.468237	329	511	0.275257	1.100144	2555.457275	1.260035	15.665236	4.256896				0.197785										61	1.787565	0.680693	0.605407	0.313439	0.434809	0.590164	58.863508	2.753356	0.510347	0.515599	0.938128	2.538360	26.146213	162.381393	32.539180	347.836066	18.089829	10.472976	55.967213										159.306202	18.986775				0.155594										0.158737										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
2	606067.130000	1	2358.701660	225.904388	32.946033	23.636110	329	512	0.282581	1.129173	2663.381592	1.312149	16.077221	4.658578				0.188002										66	2.258238	0.807047	0.640801	0.356542	0.381499	1.575758	57.842774	2.960644	0.591365	0.582575	0.952245	2.421496	26.233020	141.084380	25.102679	322.015152	18.439997	8.536150	62.287879										142.471849	18.904045				0.114069										0.256729										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
3	906064.810000	1	2390.086182	225.546783	33.431889	23.596748	328	512	0.294184	1.122987	2684.036621	1.301442	18.118340	5.344892				0.223884										57	1.776152	0.744764	0.629152	0.337522	0.464828	-6.403509	58.207406	2.803283	0.532821	0.567383	0.905501	2.458401	26.848696	174.958501	28.804217	395.280702	22.161446	9.372648	70.315789										178.948258	23.236816				0.212191										0.240211										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
4	1204424.500000	1	2411.164063	222.858536	33.584206	23.648073	328	513	0.295857	1.112426	2682.241211	1.280298	17.472391	5.225903				0.230526										49	1.652009	0.812911	0.664330	0.343973	0.467750	-0.897959	56.285450	2.988244	0.577141	0.575569	0.926630	2.337549	27.150745	179.730741	27.617081	392.326531	22.735831	11.449141	68.040816										184.231176	23.975609				0.205370										0.441358										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
5	1504391.400000	1	2444.322754	219.818832	33.961674	23.643114	327	513	0.303830	1.100031	2688.831543	1.254240	15.648504	4.895415				0.190177										43	1.503448	0.854631	0.729874	0.348025	0.509216	-9.372093	53.597718	3.176550	0.646376	0.621498	0.964316	2.441849	27.787594	168.019056	30.363842	371.953488	21.767625	9.054650	68.767442										167.995402	21.221839				0.139831										0.395843										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
6	1804389.100000	1	2460.543213	218.875458	34.225559	23.601345	326	513	0.310418	1.091904	2686.676758	1.244734	16.387083	4.942542				0.181119										55	1.812844	0.811015	0.654897	0.350136	0.462284	-0.763636	63.212447	2.968747	0.605573	0.574244	0.909013	2.314077	27.386874	156.697264	23.637580	367.145455	19.924778	9.533698	69.490909										159.174243	19.995264				0.260751										0.136158										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
7	2104371.800000	1	2488.210449	218.141754	34.578056	23.616081	325	513	0.317021	1.081639	2691.344971	1.233645	17.609411	5.222830				0.189957										55	1.619529	0.732678	0.619551	0.314516	0.490201	1.345455	60.593429	2.753843	0.506500	0.511147	0.898497	2.365521	27.866673	179.317816	37.468941	370.381818	22.032523	11.260865	66.781818										180.511529	23.025157				0.061152										0.282966										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
8	2406070.500000	1	2490.914063	217.831406	34.762459	23.557154	324	513	0.322339	1.079727	2689.506836	1.231221	17.828218	5.608258				0.211693										50	1.610989	0.802567	0.665155	0.334331	0.472143	2.820000	59.626282	2.950922	0.572357	0.571475	0.923032	2.381174	28.298903	179.727928	30.240664	419.640000	24.460853	13.651391	70.680000										182.007369	26.418946				0.220419										0.286570										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
9	2704352.500000	1	2526.691650	224.845963	35.003807	23.699669	323	514	0.322940	1.095884	2768.961426	1.261839	18.501797	5.778307				0.219880										49	1.539696	0.793946	0.638972	0.342470	0.462008	-3.428571	61.184829	2.882545	0.572831	0.565133	0.898825	2.399127	27.932296	183.288697	28.460137	384.367347	25.079356	13.083705	73.755102										184.752443	26.419109				0.252554										0.479482										0.001532	1	2798.637853	0.001183	25.546492	10.406934	0.407372
10	3004491.000000	1	2536.195557	222.959229	35.137577	23.653870	321	515	0.326821	1.095666	2778.824219	1.248904	17.813015	5.329902				0.197428										48	0.999301	0.528004	0.531997	0.260004	0.501221	-3.520833	62.382823	2.239233	0.333523	0.429861	0.875833	2.388212	28.897389	202.632997	45.434631	380.562500	24.167309	12.326308	68.604167										201.014996	26.456667				0.072946										0.449160										0.000685	1	2798.637853	0.001183	25.546492	10.406934	0.407372
11	3304364.000000	1	2546.966797	220.566925	35.132668	23.739132	320	515	0.324300	1.090104	2776.458740	1.232889	17.988506	5.622618				0.204374										41	0.898884	0.558397	0.577256	0.263493	0.502724	-9.634146	55.789227	2.407044	0.358013	0.477624	0.887190	2.302982	28.447411	219.446424	38.239400	391.073171	29.473169	12.071938	79.756098										214.586710	31.407749				0.132791										0.347112										0.000000	1	2798.637853	0.001183	25.546492	10.406934	0.407372
12	3604440.500000	1	2543.418701	218.875458	35.105156	23.676428	320	515	0.325557	1.085986	2762.118408	1.224287	19.803049	6.320811				0.205953										24	0.802152	0.850087	0.783950	0.305284	0.582366	-7.625000	57.044462	3.324275	0.647685	0.584461	0.982552	2.274340	28.529689	251.171319	25.125061	465.125000	33.295110	12.986607	97.458333										252.242239	36.026915				0.042477										0.309384										0.000969	1	2798.637853	0.001183	25.546492	10.406934	0.407372
