patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
1	2	0.001104	0.002470	0.002166	-148.680548	-0.337923	-0.032928	50.181818	-248.000000	4980.000000	-0.344156	-99.000000	419.000000			0.000000			0.000000			0.000000	0.331192	0.331192	1.000000
2	4	0.000794	0.001652	0.000969	-107.960649	0.225282	0.043991	20.287317	1350.666667	17064.000000	-0.576880	152.666667	2288.000000			0.000000			0.000000			0.000000	0.714403	0.661460	0.925891
3	7	0.000844	0.002110	0.001346	-12.902688	-0.021120	0.004220	7.705555	76.250000	21568.000000	0.111111	-6.250000	2322.000000			0.000000			0.000000			0.000000	1.486959	0.815124	0.548182
4	4	0.000686	0.001864	0.001969	18.823165	-0.788487	-0.273760	0.178161	-3013.666667	17341.000000	-4.040230	-327.666667	1457.000000			0.000000			0.000000			0.000000	0.617276	0.410960	0.665764
5	7	0.001006	0.001112	0.001860	66.464002	-0.049280	-0.023528	-5.363889	-196.666667	18643.000000	1.125000	-6.333333	2519.000000			0.000000			0.000000			0.000000	1.811477	0.645032	0.356081
6	3	0.001219	0.000827	0.002197	-41.238566	-0.718086	-0.179776	-2.144928	-2243.500000	9372.000000	-3.318840	-300.000000	954.000000			0.000000			0.000000			0.000000	0.731321	0.595698	0.814550
7	3	0.000981	0.001568	0.001426	-2.471127	0.147841	0.007160	-12.705883	260.000000	6434.000000	-0.450000	20.000000	492.000000			0.000000			0.000000			0.000000	0.588595	0.576084	0.978744
8	8	0.000609	0.001466	0.001395	103.960115	-0.084481	-0.033290	29.629371	47.000000	10345.000000	-21.314686	-310.000000	1106.000000			0.000000			0.000000			0.000000	1.090503	0.117182	0.107456
9	2	0.000856	0.001938	0.002055	-126.869891	-0.211202	-0.123947	9.875000	-1046.000000	2396.000000	-12.041667	-138.000000	188.000000			0.000000			0.000000			0.000000	0.256906	0.256906	1.000000
10	6	0.000561	0.001269	0.001814	59.770135	0.000000	0.000000	2.640000	13.200000	7326.000000	0.440000	2.200000	596.000000			0.000000			0.000000			0.000000	0.841615	0.411044	0.488399
