Slice,X,Y,Distance
1,82,63,483.9969
1,51,62,480.713
1,135,76,483.2401
1,63,90,454.3886
1,38,106,435.6604
1,123,84,472.2976
1,163,105,464.5363
1,85,109,439.3017
1,200,133,453.4854
1,137,133,429.4392
1,98,139,412.8014
1,64,181,364.6601
1,18,149,391.4141
1,282,150,481.2733
1,146,157,409.8841
1,131,199,365.2971
1,274,175,456.4
1,184,197,389.2364
1,313,172,483.1076
1,243,203,415.4732
1,307,225,439.8568
1,367,222,485.6058
1,85,230,321.4421
1,112,241,319.2883
1,193,243,354.2005
1,145,257,317.9843
1,242,242,383.8854
1,348,248,454.2774
1,69,255,293.2337
1,232,274,352.9589
1,29,270,271.5529
1,427,272,504.1359
1,283,281,383.6274
1,346,275,435.8222
1,396,277,475.3788
1,196,279,326.4001
1,169,290,301.7632
1,444,282,513.5173
1,350,311,418.2595
1,452,301,511.2974
1,418,300,482
1,381,305,447.6449
1,397,308,459.8184
1,319,324,385.2493
1,291,313,369.0664
1,264,327,339.2123
1,227,325,312.6564
1,456,333,500.7844
1,379,355,421.7416
1,293,345,351.9574
1,326,351,376.8249
1,485,363,516.2887
1,416,366,450.9235
1,446,379,474.1698
1,338,376,375.686
1,511,409,527.5244
1,450,423,464.9613
1,502,445,510.91
1,536,446,544.1801
1,474,466,479.7416
1,535,470,539.56
1,499,499,500.6815
1,544,500,545.4686
1,466,496,468.0726
1,453,510,453.9923
1,537,548,537.0596
1,487,535,487.0257
1,497,568,497.7881
1,474,562,474.5103
1,527,589,529.2731
1,569,606,572.815
1,546,605,549.8554
1,502,601,505.6926
1,508,618,513.9533
1,559,653,570.3069
1,501,632,509.3771
1,502,655,515.0039
1,236,671,269.9204
1,494,682,514.0039
1,545,687,564.4767
1,523,697,546.0568
1,459,706,488.0953
1,555,714,581.6365
1,151,717,232.6585
1,411,716,447.0984
1,116,725,218.3598
1,499,731,534.3052
1,175,722,252.4856
1,455,770,509.8284
1,540,746,577.9585
1,415,761,470.1766
1,374,751,429.4147
1,194,759,292.5696
1,32,811,272.8828
1,493,759,539.4534
1,521,777,572.3723
1,85,778,252.7232
1,358,776,428.789
1,388,784,458.3448
1,194,850,365.6993
1,108,823,302.9076
1,490,808,558.5016
1,362,819,457.0394
1,418,820,503.1143
1,448,818,527.2457
1,398,818,485.4771
1,520,814,587.7721
1,298,843,424.9859
1,498,837,579.8388
1,397,862,511.1683
1,457,843,548.3229
1,432,854,534.0599
1,257,877,423.8136
1,485,862,582.1589
1,68,893,359.4899
1,356,871,486.1039
1,118,888,367.4616
1,443,900,570.8318
1,20,890,350.571
1,306,892,466.4118
1,148,906,394.7911
1,400,915,548.2928
1,269,912,459.0697
1,340,930,517.3973
1,97,952,423.2647
1,217,944,458.5902
1,174,926,423.4052
1,31,947,408.1789
1,152,964,450.422
1,282,955,501.746
1,410,947,577.7101
1,374,972,571.4018
1,341,991,565.4043
1,47,988,450.4587
1,266,1008,538.3122
1,213,1009,515.1019
1,312,1015,568.3036
1,85,1005,472.705
1,30,1006,466.9647
1,7,1008,468.0523
1,65,1017,481.4084
1,128,1011,488.083
1,174,1016,506.8057
1,168,1051,537.908
1,22,1028,488.4956
1,46,1051,513.0663
1,228,1053,561.3849
1,131,1048,524.6189
1,80,1057,523.1529
1,280,1047,579.1796
1,10,1062,522.0958
1,106,1059,529.7141
2,48,62,480.404
2,82,63,483.9969
2,166,90,479.6415
2,19,94,446.4045
2,81,103,444.4435
