Time (step)	Area (µm²)	Centroid X (pixels)	Centroid Y (pixels)	Eccentricity	Majoraxislength (µm)	Minoraxislength (µm)
0	171060.743475	440.593605	769.940308	0.892211	1170.224240	528.495379
1	176155.801650	448.359562	764.646814	0.887008	1173.022494	541.648513
2	177341.472900	448.498682	764.537004	0.886866	1170.136293	540.633930
3	178453.091700	451.513668	764.790047	0.887039	1171.532349	540.889898
4	180386.359875	458.908124	763.102986	0.883624	1175.808466	550.511043
5	182215.205775	461.431694	762.146291	0.883533	1177.902511	551.692152
6	183335.561100	462.724966	761.851460	0.883583	1178.108404	551.679003
7	184006.193400	464.142873	761.960330	0.883911	1178.824187	551.283555
8	184850.308125	466.448741	762.217726	0.884463	1180.625023	550.892752
9	185709.399750	467.514779	760.582493	0.882777	1181.758261	555.181191
10	186332.189175	469.359906	760.893938	0.883194	1183.038340	554.854164
11	186919.200450	469.746614	760.916465	0.883275	1182.177762	554.270696
12	188795.057175	472.279817	761.327280	0.883655	1181.061768	552.901645
13	190955.058975	477.640143	761.107791	0.884425	1186.096106	553.530583
14	192588.789150	478.925139	760.576902	0.884632	1185.637237	552.849641
15	194079.822750	482.516261	760.294652	0.884769	1189.034273	554.126019
16	195648.653025	483.434808	759.478184	0.884883	1188.850741	553.781749
17	196921.689525	485.313136	758.553751	0.884695	1190.550795	554.999824
18	197731.274175	486.266643	758.256794	0.884867	1190.986359	554.813536
19	199367.916525	486.331250	756.353870	0.883296	1190.799283	558.264389
20	199929.966300	486.836401	755.865331	0.883112	1191.356572	558.939387
21	201326.562225	486.342800	753.959168	0.882104	1191.062889	561.055754
22	202910.785425	487.482120	752.229019	0.881490	1192.903565	563.292192
23	204525.378450	488.829520	752.350880	0.881935	1191.198629	561.495924
24	207306.089550	492.500891	751.991690	0.882262	1191.347282	560.836673
25	208366.953300	495.164154	752.319559	0.882695	1192.575238	560.446145
26	210413.380275	495.234553	750.640919	0.882284	1191.735762	560.969814
27	211875.292125	496.509968	750.431289	0.882319	1190.784481	560.445870
28	212763.921525	497.593333	750.330702	0.882533	1190.809677	559.978063
29	215156.481300	500.521857	750.600547	0.883315	1189.528337	557.626869
30	216869.672250	501.425164	750.301024	0.883679	1188.021658	556.104284
31	221081.509350	504.354930	749.196521	0.883012	1182.568841	555.038444
32	224284.485825	509.392639	748.160425	0.883495	1185.390007	555.284492
33	226523.948400	511.075771	747.316583	0.883777	1185.169234	554.551308
34	227343.517650	512.520140	747.327171	0.883971	1185.607868	554.321913
35	228969.759375	513.462908	746.090382	0.883624	1186.039810	555.300042
36	231159.714975	514.918852	744.239746	0.882649	1187.035025	557.944329
37	233533.553625	518.458094	744.670516	0.883178	1185.320090	555.961183
38	234534.509775	519.352679	744.165261	0.883287	1185.741718	555.913824
39	236987.393175	520.993610	743.394437	0.883414	1183.967102	554.799049
40	239019.675300	523.910123	743.096298	0.883490	1184.083315	554.684764
41	243670.418775	526.408497	740.835673	0.882390	1180.268745	555.339370
42	246742.347375	525.643506	737.124525	0.880859	1180.784540	558.958874
43	247830.668775	526.038804	736.717073	0.880715	1179.588550	558.707354
44	252257.174775	524.966091	733.532530	0.878865	1174.712470	560.421304
45	254593.987200	526.475901	732.870856	0.879082	1173.482860	559.365266
46	256800.167775	529.644347	732.149286	0.879140	1175.378729	560.142266
47	258801.664050	530.163876	731.589144	0.879323	1173.276180	558.745462
48	261426.365775	530.789824	730.052324	0.879426	1172.326946	558.068416
49	264118.463550	531.868253	727.538040	0.878420	1173.914173	561.001111
50	266625.430200	534.204341	727.043437	0.878485	1172.956593	560.402605
51	268949.345850	535.525525	726.690947	0.878389	1170.386277	559.381407
52	269912.859750	535.853620	726.531002	0.878392	1169.191704	558.804080
53	270486.974250	535.985447	726.273041	0.878328	1168.630322	558.673458
54	272493.462825	538.259110	725.978043	0.878537	1168.064530	557.955116
55	274437.547650	539.607988	725.693795	0.878567	1166.059376	556.933210
56	274973.803875	539.793036	725.531587	0.878604	1165.592082	556.628977
57	276368.319675	539.046850	724.131518	0.878029	1164.536634	557.355468
58	278300.755800	538.038533	721.854697	0.877051	1164.024933	559.195277
59	279772.236225	538.840494	720.362858	0.875923	1164.485299	561.807755
60	281695.103775	540.853204	719.575529	0.875829	1165.024007	562.266507
61	282454.765425	540.654059	719.015589	0.875795	1164.556397	562.112501
62	282903.656400	540.636797	718.618016	0.875712	1164.538603	562.277844
63	283778.140950	542.057670	718.434164	0.875678	1164.978576	562.561961
64	286163.628300	544.414391	717.468948	0.875360	1165.322256	563.399981
65	288533.722725	545.571305	716.004747	0.874678	1164.919682	564.641401
66	289668.638925	544.900387	714.577586	0.874157	1164.774888	565.665079
67	292642.385625	545.505235	713.434704	0.873883	1161.352577	564.576051
68	293699.089125	545.693143	713.059626	0.873803	1160.295948	564.227844
69	297229.893300	543.958854	709.565569	0.872798	1157.922786	565.161369
70	299016.720675	544.580091	709.352689	0.872810	1154.987375	563.702324
71	302256.307350	551.606546	707.859532	0.871455	1161.442178	569.658457
