ID of track,time index,cell row,cell col
1,0,2.187500,1170.187500
1,1,2.210526,1171.578947
1,2,14.333333,1168.717949
1,3,18.500000,1156.500000
1,4,28.166667,1163.114583
1,5,26.500000,1170.500000
1,6,26.885246,1164.393443
1,7,28.692308,1168.538462
1,8,22.424242,1172.030303
1,9,25.411765,1173.882353
1,10,26.535211,1173.943662
1,11,18.237113,1168.783505
1,12,1.000000,1165.500000
1,13,1.000000,1159.500000
1,14,5.212389,1160.522124
1,15,1.416667,1157.000000
1,16,5.709677,1163.548387
1,17,1.100000,1160.000000
1,19,2.766667,1165.266667
1,20,1.000000,1155.000000
1,21,1.000000,1161.000000
1,22,1.411765,1164.705882
2,0,78.603774,1274.867925
2,1,73.833333,1276.166667
2,2,77.733333,1274.966667
2,3,80.102041,1272.714286
2,4,74.333333,1279.333333
2,5,71.500000,1277.000000
2,6,72.000000,1275.285714
2,7,71.588235,1275.882353
2,8,76.000000,1274.500000
2,9,77.000000,1275.000000
2,10,78.000000,1273.875000
2,11,81.268293,1280.097561
2,12,83.190476,1278.952381
2,13,79.600000,1273.200000
2,14,65.000000,1270.000000
2,15,59.812500,1271.531250
2,16,60.761905,1271.380952
2,17,58.500000,1270.000000
2,18,53.500000,1270.500000
2,19,43.918919,1273.567568
2,20,33.437500,1280.250000
2,21,30.469697,1285.742424
2,22,28.851064,1294.808511
2,23,31.500000,1294.500000
2,24,35.875000,1307.666667
2,25,32.500000,1316.294118
2,26,26.125000,1320.333333
2,27,24.000000,1326.000000
2,28,16.975000,1328.675000
2,29,7.626506,1333.771084
2,30,7.750000,1336.113636
2,31,1.428571,1339.285714
2,33,1.000000,1341.000000
2,35,1.388889,1339.000000
3,0,367.000000,807.500000
3,1,373.125000,810.666667
3,2,366.243243,808.756757
3,3,361.210526,803.842105
3,4,360.125000,799.875000
3,5,365.314286,803.914286
3,6,365.067797,803.474576
3,7,371.333333,807.111111
3,8,381.827586,800.103448
3,9,375.200000,805.075000
3,10,382.500000,800.000000
3,11,384.951613,800.483871
3,12,394.222222,802.296296
3,13,396.684211,801.815789
3,14,399.471698,799.792453
3,15,394.184211,801.315789
3,16,398.942857,799.200000
3,17,395.333333,802.333333
3,18,389.932203,801.508475
3,19,385.250000,798.437500
3,21,376.142857,808.482143
3,22,375.157895,808.842105
4,6,164.750000,35.208333
4,8,164.366667,34.633333
4,10,164.411765,33.882353
4,12,235.285714,46.500000
4,13,228.461538,48.589744
4,14,229.896552,57.482759
4,15,234.500000,53.137931
4,16,235.756098,57.000000
4,17,225.484848,69.757576
4,19,228.380952,69.095238
4,20,233.285714,49.000000
4,21,233.754717,45.301887
4,22,233.963415,48.134146
4,23,233.164706,45.247059
4,24,229.184615,47.476923
4,25,232.500000,45.500000
4,26,225.731183,48.354839
4,27,226.500000,50.000000
4,29,232.142857,55.987013
4,30,231.682927,62.463415
4,31,230.375000,63.750000
4,32,229.351351,47.432432
4,33,226.939759,46.120482
4,34,231.000000,43.000000
4,35,234.000000,43.000000
4,36,233.920000,42.800000
4,37,235.388889,54.861111
4,39,231.046296,66.601852
4,40,231.739130,58.826087
4,42,230.600000,62.600000
4,44,227.384615,66.615385
4,45,229.355140,59.037383
4,46,228.198113,57.094340
5,7,582.500000,1371.750000
5,8,583.625000,1370.875000
5,9,583.888889,1372.888889
5,10,582.580645,1370.500000
5,11,583.090909,1372.636364
5,12,583.883721,1371.325581
5,13,583.447059,1370.082353
5,14,583.500000,1370.406250
5,15,582.753846,1370.584615
5,16,583.551724,1370.045977
5,18,583.736842,1370.719298
5,19,582.500000,1370.724138
5,20,583.246753,1370.428571
5,21,582.000000,1373.500000
5,22,581.733333,1371.088889
5,23,583.000000,1372.307692
6,12,2.333333,1129.333333
6,13,2.400000,1128.400000
6,14,5.465116,1128.744186
6,15,4.125000,1129.125000
6,16,3.333333,1130.533333
6,18,3.666667,1129.666667
6,19,3.723684,1130.276316
6,21,7.058824,1127.352941
6,22,3.500000,1129.931818
6,23,6.253623,1130.246377
6,24,7.153846,1127.538462
6,25,5.294118,1129.274510
7,25,205.000000,1370.684211
7,26,218.264706,1360.676471
7,27,221.875000,1354.333333
7,28,221.791667,1357.166667
7,29,226.500000,1355.500000
7,30,230.846154,1353.538462
7,31,232.394737,1356.368421
7,32,230.250000,1354.583333
7,33,214.116883,1367.207792
7,34,176.500000,1356.500000
7,35,165.000000,1356.200000
7,36,159.000000,1363.500000
7,37,148.838710,1369.612903
7,38,142.583333,1371.458333
7,39,143.677083,1368.427083
7,40,142.441860,1364.116279
7,41,134.500000,1367.164384
8,0,180.561404,1026.035088
8,1,179.890411,1029.232877
8,2,179.647887,1029.112676
8,3,178.410256,1028.320513
8,4,178.314815,1028.722222
8,5,177.882353,1028.588235
8,6,177.828571,1028.000000
8,7,177.500000,1027.500000
8,8,177.974026,1027.441558
8,9,177.750000,1026.384615
8,10,177.865672,1026.791045
8,11,177.381818,1026.690909
8,12,178.000000,1026.000000
8,13,177.500000,1025.000000
8,14,178.000000,1025.500000
8,15,178.000000,1026.291667
8,16,177.826923,1026.711538
8,17,176.916667,1027.229167
8,18,177.560000,1025.973333
8,19,177.000000,1026.291667
8,20,177.111111,1026.333333
8,21,176.971831,1026.323944
8,22,176.880000,1027.360000
8,23,177.265625,1027.125000
8,24,177.048387,1026.854839
8,25,177.023256,1026.581395
8,26,176.600000,1025.600000
8,27,176.886364,1026.795455
8,28,176.789474,1027.105263
8,29,177.366667,1027.366667
8,30,177.600000,1026.600000
8,31,177.190476,1028.285714
8,32,177.119403,1026.000000
8,33,177.321429,1026.678571
8,34,176.911765,1026.794118
8,35,176.750000,1027.250000
8,36,176.500000,1027.000000
8,37,177.500000,1028.000000
8,38,176.568627,1027.529412
8,39,176.822222,1026.400000
8,40,176.133333,1026.013333
8,41,176.125000,1027.875000
8,42,176.722222,1028.111111
8,43,175.500000,1026.000000
8,44,176.500000,1026.000000
8,45,176.500000,1026.500000
8,46,176.028169,1026.676056
8,47,176.666667,1025.500000
8,48,176.594595,1027.162162
8,49,176.098592,1027.901408
8,50,176.500000,1025.916667
8,51,176.500000,1026.500000
8,52,177.277778,1027.111111
8,53,177.231884,1027.637681
8,54,177.352941,1027.000000
8,55,176.371429,1026.385714
8,56,176.500000,1027.500000
8,57,176.865672,1026.447761
8,58,177.000000,1028.756098
8,59,176.586207,1028.724138
8,60,177.191489,1025.361702
8,61,177.000000,1025.000000
8,62,177.000000,1026.500000
8,63,177.014286,1027.414286
8,64,177.250000,1026.615385
8,65,176.910448,1026.910448
8,66,177.151515,1027.060606
8,67,177.500000,1025.500000
8,68,176.944444,1026.805556
8,69,176.608696,1026.956522
8,70,177.243902,1026.000000
8,71,177.246753,1027.636364
8,72,177.476190,1027.714286
8,73,176.750000,1028.250000
8,74,177.411765,1027.117647
8,75,176.916667,1026.638889
8,76,177.187500,1026.359375
8,77,177.064516,1026.741935
8,78,177.000000,1025.500000
8,79,177.265625,1026.125000
8,80,178.608696,1025.956522
8,81,178.920000,1026.800000
8,82,177.795455,1025.886364
8,83,179.027778,1026.361111
8,84,180.840000,1025.920000
8,85,181.714286,1025.357143
9,0,525.631579,1040.210526
9,1,525.093750,1043.000000
9,2,525.210526,1041.000000
9,3,523.761905,1040.380952
9,4,522.891304,1040.630435
9,5,522.181818,1038.272727
9,6,527.558824,1034.647059
9,7,531.500000,1032.500000
9,8,526.396552,1039.120690
9,9,529.114754,1041.065574
9,10,522.883721,1038.883721
9,11,521.500000,1038.000000
9,12,520.789474,1039.157895
9,13,518.588235,1039.882353
9,14,518.000000,1040.000000
