frameID,track_no,x,y,time
0,0,768.0,592.0,8
0,1,733.0,571.0,8
0,2,782.0,486.0,8
0,3,60.0,351.0,8
0,4,195.0,597.0,8
0,5,715.0,586.0,8
0,6,251.0,561.0,8
0,7,45.0,468.0,8
0,8,62.0,566.0,8
0,9,41.0,518.0,8
0,10,687.0,578.0,8
0,11,154.0,579.0,8
0,12,300.0,555.0,8
0,13,13.0,467.0,8
0,14,647.0,571.0,8
0,15,571.0,593.0,8
0,16,87.0,441.0,8
0,17,751.0,503.0,8
0,18,783.0,569.0,8
0,19,122.0,521.0,8
0,20,737.0,591.0,8
0,21,12.0,179.0,8
0,22,107.0,470.0,8
0,23,66.0,516.0,8
0,24,369.0,595.0,8
0,25,28.0,595.0,8
0,26,155.0,539.0,8
0,27,119.0,544.0,8
0,28,568.0,562.0,8
0,29,37.0,220.0,8
0,30,84.0,535.0,8
0,31,30.0,56.0,8
0,32,792.0,526.0,8
0,33,386.0,571.0,8
0,34,550.0,593.0,8
0,35,47.0,333.0,8
0,36,244.0,593.0,8
0,37,755.0,525.0,8
0,38,427.0,596.0,8
0,39,597.0,598.0,8
0,40,19.0,198.0,8
0,41,798.0,433.0,8
0,42,4.0,115.0,8
0,43,18.0,97.0,8
0,44,432.0,575.0,8
0,45,69.0,585.0,8
0,46,218.0,552.0,8
0,47,219.0,597.0,8
0,48,104.0,371.0,8
0,49,196.0,569.0,8
0,50,116.0,410.0,8
0,51,21.0,574.0,8
0,52,45.0,21.0,8
0,53,223.0,523.0,8
0,54,319.0,583.0,8
0,55,179.0,477.0,8
0,56,140.0,416.0,8
0,57,129.0,382.0,8
0,58,46.0,130.0,8
0,59,69.0,410.0,8
0,60,81.0,364.0,8
0,61,48.0,594.0,8
0,62,485.0,76.0,8
0,63,42.0,557.0,8
0,64,2.0,407.0,8
0,65,1.0,4.0,8
0,66,50.0,255.0,8
0,67,153.0,449.0,8
0,68,2.0,507.0,8
0,69,709.0,559.0,8
0,70,247.0,525.0,8
0,71,748.0,557.0,8
1,0,768.976,590.868,16
1,1,731.202,566.246,16
1,2,781.757,481.983,16
1,3,61.9173,343.323,16
1,4,195.528,592.479,16
1,5,715.451,581.553,16
1,6,249.274,557.159,16
1,7,44.2748,464.589,16
1,8,63.0263,564.976,16
1,9,40.1298,515.333,16
1,10,686.702,571.924,16
1,11,156.978,574.138,16
1,12,296.654,547.738,16
1,13,9.51471,463.378,16
1,14,650.139,564.37,16
1,15,569.916,590.868,16
1,16,87.7558,434.912,16
1,17,749.689,499.537,16
1,18,782.897,566.56,16
1,19,123.265,518.052,16
1,20,736.475,587.309,16
1,21,15.2511,181.279,16
1,22,108.431,464.594,16
1,23,63.5886,512.451,16
1,24,368.2,590.355,16
1,25,22.916,591.844,16
1,26,154.827,533.354,16
1,27,121.325,540.993,16
1,28,563.736,559.132,16
1,29,42.107,217.842,16
1,30,83.2254,531.01,16
1,31,36.4205,53.4534,16
1,32,792.86,524.105,16
1,33,386.212,565.549,16
1,34,546.495,588.207,16
1,35,50.9006,327.967,16
1,36,245.81,592.061,16
1,37,752.445,518.984,16
1,38,429.383,588.82,16
1,39,594.762,598.597,16
1,40,23.1028,198.604,16
1,41,802.438,425.792,16
1,42,8.59344,111.817,16
1,43,23.9867,94.9041,16
1,44,434.755,566.761,16
1,45,70.1818,584.463,16
1,46,216.793,547.083,16
1,47,220.574,594.495,16
1,48,106.186,366.488,16
1,49,193.778,566.763,16
1,50,116.887,401.865,16
1,51,17.8248,572.955,16
1,52,49.2371,19.4695,16
1,53,222.569,519.229,16
1,54,314.718,575.545,16
1,55,177.942,471.755,16
1,56,141.942,409.608,16
1,57,130.599,376.78,16
1,58,51.214,129.239,16
1,59,72.3432,408.385,16
1,60,84.0885,358.788,16
1,61,45.7558,591.656,16
1,62,485.123,77.7053,16
1,63,42.0809,554.736,16
1,64,1.6795,399.815,16
1,65,4.2776,1.55999,16
1,66,55.4659,251.982,16
1,67,154.299,442.54,16
1,68,-4.08492,504.582,16
1,69,709.168,554.413,16
1,70,245.256,519.011,16
1,71,747.122,552.227,16
2,0,767.918,592.811,24
2,1,728.535,565.41,24
2,2,780.447,482.141,24
2,3,62.548,342.72,24
2,4,197.26,591.277,24
2,5,713.019,581.22,24
2,6,248.076,554.908,24
2,7,45.2547,463.666,24
2,8,65.488,559.38,24
2,9,43.6888,510.989,24
2,10,685.481,571.356,24
2,11,158.089,570.627,24
2,12,296.343,546.42,24
2,13,10.4785,460.684,24
2,14,648.435,565.088,24
2,15,567.497,593.612,24
2,16,89.6952,434.142,24
2,17,748.138,498.062,24
2,18,781.672,568.346,24
2,19,122.859,516.082,24
2,20,733.663,586.266,24
2,21,16.5438,180.733,24
2,22,107.871,462.571,24
2,23,65.8197,509.003,24
2,24,367.566,588.292,24
2,25,23.7905,590.248,24
2,26,155.112,530.934,24
2,27,122.922,535.704,24
2,28,560.291,561.121,24
2,29,45.0991,218.613,24
2,30,84.7575,526.575,24
2,31,40.3112,51.9975,24
2,32,793.946,527.006,24
2,33,386.198,562.582,24
2,34,545.776,588.232,24
2,35,51.1228,327.667,24
2,36,245.32,590.55,24
2,37,750.952,516.327,24
2,38,429.803,587.05,24
2,39,591.821,601.384,24
2,40,24.4056,197.003,24
2,41,804.023,424.992,24
2,42,13.3518,109.812,24
2,43,29.1837,91.5138,24
2,44,434.995,565.982,24
2,45,72.7972,579.074,24
2,46,216.238,546.079,24
2,47,219.876,593.83,24
2,48,107.368,365.725,24
2,49,194.003,566.378,24
2,50,117.248,402.276,24
2,51,19.3296,571.131,24
2,52,50.9622,18.9404,24
2,53,221.782,517.841,24
2,54,314.946,573.058,24
2,55,175.941,469.576,24
2,56,142.369,409.827,24
2,57,132.575,377.038,24
2,58,54.1567,129.866,24
2,59,73.7276,409.125,24
2,60,87.2688,359.064,24
2,61,45.0458,590.687,24
2,62,484.041,78.0358,24
2,63,44.5351,550.638,24
2,64,2.67984,396.786,24
2,65,5.71612,1.47523,24
2,66,56.693,250.902,24
2,67,152.286,441.497,24
2,68,-1.46569,500.923,24
2,69,706.493,554.5,24
2,70,245.175,515.413,24
2,71,746.146,551.481,24
3,0,766.134,592.975,32
3,1,725.504,562.816,32
3,2,778.785,479.421,32
3,3,63.3547,340.824,32
3,4,199.51,588.959,32
3,5,707.838,574.406,32
3,6,250.222,549.478,32
3,7,42.5107,466.761,32
3,8,64.839,557.551,32
3,9,43.1418,512.749,32
3,10,680.814,565.892,32
3,11,158.535,569.301,32
3,12,296.738,543.938,32
3,13,8.55347,463.859,32
3,14,642.955,561.086,32
3,15,564.33,589.654,32
3,16,87.6047,434.111,32
3,17,745.734,495.642,32
3,18,779.52,567.576,32
3,19,122.048,513.284,32
3,20,730.041,582.912,32
3,21,17.3474,181.428,32
3,22,105.59,460.7,32
3,23,66.0761,510.827,32
3,24,367.225,587.563,32
3,25,20.0552,592.934,32
3,26,153.618,527.985,32
3,27,121.975,531.45,32
3,28,560.264,558.228,32
3,29,47.465,219.892,32
3,30,82.9811,527.15,32
3,31,42.3707,53.394,32
3,32,791.085,529.865,32
3,33,384.578,561.12,32
3,34,543.131,586.828,32
3,35,50.9307,327.101,32
3,36,248.087,583.907,32
3,37,748.53,514.038,32
3,38,426.363,586.439,32
3,39,589.661,598.315,32
3,40,25.4308,197.167,32
